0.0;0.0.1;5.0;6.0;7.0;y
440.0;15.753;17.167;0.087;-0.518;-0.316
429.0;16.240000000000002;17.125;0.23;-0.723;-0.501
451.0;15.312999999999999;17.021;-0.121;-0.39799999999999996;-0.307
407.0;16.569000000000006;16.956;0.162;-0.853;-0.364
418.0;16.414;16.99;0.18;-0.831;-0.47100000000000003
396.0;16.792;17.069000000000006;0.18600000000000005;-0.9470000000000001;-0.248
900.0;16.015;16.016;-0.846;-0.46799999999999997;-0.858
397.0;17.430999999999994;16.961;-0.075;0.14800000000000002;-0.893
922.0;15.882;15.94;-0.728;-0.544;-0.912
419.0;17.111;17.003;-0.415;0.09699999999999999;-0.855
911.0;15.937999999999999;16.049;-0.87;-0.524;-0.98
441.0;16.817;16.582;-0.447;-0.085;-0.904
430.0;16.848;16.753;-0.522;-0.005;-0.821
408.0;17.340999999999998;17.045;-0.149;0.184;-0.927
363.0;16.406;16.723;0.695;-0.982;-1.433
452.0;16.904;16.497;-0.29600000000000004;-0.067;-0.973
341.0;16.732;17.194000000000006;0.892;-1.2930000000000001;-1.033
374.0;16.219;16.651;0.615;-1.082;-1.272
889.0;15.999;15.972;-0.825;-0.39;-0.898
66.0;15.898;17.434;0.6629999999999999;0.036000000000000004;-0.784
385.0;16.142;16.703;0.585;-1.1909999999999998;-1.172
936.0;16.291;16.923;-0.396;-0.23399999999999999;
352.0;16.653;16.977999999999998;0.929;-1.2109999999999999;-1.268
459.0;43327,00;43297,00;-0.32799999999999996;0.129;-0.8959999999999999
77.0;;17.269000000000002;0.711;0.073;-0.8270000000000001
750.0;17.694000000000006;16.733;0.213;0.27399999999999997;-0.684
330.0;16.678;16.980999999999998;1.0590000000000002;-1.079;-1.004
739.0;17.793;16.662;0.24100000000000002;0.348;-0.7020000000000001
947.0;16.326;17.045;-0.166;-0.295;-1.13
803.0;16.295;17.366;-0.94;-0.691;-0.162
826.0;16.845;16.337;-0.624;0.067;-0.516
980.0;16.38;43148,00;-0.09;0.087;-1.3330000000000002
815.0;16.734;16.301;-0.496;-0.012;-0.623
265.0;16.881999999999998;16.407;-0.915;-0.546;-0.637
761.0;17.711;16.616;0.33799999999999997;0.298;-0.843
583.0;16.688;17.257;0.222;0.314;-0.715
814.0;16.301000000000002;17.381;-0.867;-0.71;-0.19
969.0;16.454;17.117;0.073;-0.025;-1.318
448.0;15.964;16.663;-0.013000000000000001;0.507;-1.412
878.0;15.955;15.82;-0.768;-0.408;-0.787
772.0;17.682000000000006;16.588;0.402;0.327;-0.852
804.0;16.697;16.287;-0.541;-0.198;-0.7170000000000001
958.0;16.416;17.134;0.096;-0.292;-1.133
783.0;17.615000000000006;16.471;0.415;0.318;-0.797
88.0;15.527000000000001;17.272000000000002;0.653;-0.21600000000000005;-0.8909999999999999
793.0;16.561;16.257;-0.777;-0.282;-0.7070000000000001
892.0;16.009999999999998;15.886;-0.6409999999999999;-0.282;-0.7340000000000001
;16.951;16.495;-0.7140000000000001;-0.466;-0.568
925.0;16.189;16.492;-0.584;-0.433;-0.988
