MWG;NWG;KWG;MDIMC;NDIMC;MDIMA;NDIMB;KWI;VWM;VWN;STRM;STRN;SA;SB;Run1 (ms)
16;16;16;8;8;8;8;2;1;1;0;0;0;0;115,26
16;16;16;8;8;8;8;2;1;1;0;0;0;1;78,13
16;16;16;8;8;8;8;2;1;1;0;0;1;0;79,84
16;16;16;8;8;8;8;2;1;1;0;0;1;1;84,32
16;16;16;8;8;8;8;2;1;1;0;1;0;0;115,13
16;16;16;8;8;8;8;2;1;1;0;1;0;1;81,1
16;16;16;8;8;8;8;2;1;1;0;1;1;0;83,31
16;16;16;8;8;8;8;2;1;1;0;1;1;1;93,13
16;16;16;8;8;8;8;2;1;1;1;0;0;0;117,38
16;16;16;8;8;8;8;2;1;1;1;0;0;1;85,76
16;16;16;8;8;8;8;2;1;1;1;0;1;0;83,48
16;16;16;8;8;8;8;2;1;1;1;0;1;1;87,08
16;16;16;8;8;8;8;2;1;1;1;1;0;0;118,71
16;16;16;8;8;8;8;2;1;1;1;1;0;1;91,28
16;16;16;8;8;8;8;2;1;1;1;1;1;0;85,89
16;16;16;8;8;8;8;2;1;1;1;1;1;1;105,16
16;16;16;8;8;8;8;2;1;2;0;0;0;0;76,79
16;16;16;8;8;8;8;2;1;2;0;0;0;1;64,64
16;16;16;8;8;8;8;2;1;2;0;0;1;0;71,62
16;16;16;8;8;8;8;2;1;2;0;0;1;1;64,21
16;16;16;8;8;8;8;2;1;2;0;1;0;0;76,78
16;16;16;8;8;8;8;2;1;2;0;1;0;1;65,37
16;16;16;8;8;8;8;2;1;2;0;1;1;0;70
16;16;16;8;8;8;8;2;1;2;0;1;1;1;62,69
16;16;16;8;8;8;8;2;1;2;1;0;0;0;78,74
16;16;16;8;8;8;8;2;1;2;1;0;0;1;70,46
16;16;16;8;8;8;8;2;1;2;1;0;1;0;75,4
16;16;16;8;8;8;8;2;1;2;1;0;1;1;76,73
16;16;16;8;8;8;8;2;1;2;1;1;0;0;78,91
16;16;16;8;8;8;8;2;1;2;1;1;0;1;69,74
16;16;16;8;8;8;8;2;1;2;1;1;1;0;73,58
16;16;16;8;8;8;8;2;1;2;1;1;1;1;75,3
16;16;16;8;8;8;8;2;2;1;0;0;0;0;72,45
16;16;16;8;8;8;8;2;2;1;0;0;0;1;69,36
16;16;16;8;8;8;8;2;2;1;0;0;1;0;60,26
16;16;16;8;8;8;8;2;2;1;0;0;1;1;62,39
16;16;16;8;8;8;8;2;2;1;0;1;0;0;74,61
16;16;16;8;8;8;8;2;2;1;0;1;0;1;72,82
16;16;16;8;8;8;8;2;2;1;0;1;1;0;63,68
16;16;16;8;8;8;8;2;2;1;0;1;1;1;74,12
16;16;16;8;8;8;8;2;2;1;1;0;0;0;73,16
16;16;16;8;8;8;8;2;2;1;1;0;0;1;71,2
16;16;16;8;8;8;8;2;2;1;1;0;1;0;62,38
16;16;16;8;8;8;8;2;2;1;1;0;1;1;61,43
16;16;16;8;8;8;8;2;2;1;1;1;0;0;74,73
16;16;16;8;8;8;8;2;2;1;1;1;0;1;74,05
16;16;16;8;8;8;8;2;2;1;1;1;1;0;64,26
16;16;16;8;8;8;8;2;2;1;1;1;1;1;73,44
16;16;16;8;8;8;8;2;2;2;0;0;0;0;60,67
16;16;16;8;8;8;8;2;2;2;0;0;0;1;55,01
16;16;16;8;8;8;8;2;2;2;0;0;1;0;51,34
16;16;16;8;8;8;8;2;2;2;0;0;1;1;52,78
16;16;16;8;8;8;8;2;2;2;0;1;0;0;60,33
16;16;16;8;8;8;8;2;2;2;0;1;0;1;55,75
16;16;16;8;8;8;8;2;2;2;0;1;1;0;53,3
16;16;16;8;8;8;8;2;2;2;0;1;1;1;52,9
16;16;16;8;8;8;8;2;2;2;1;0;0;0;61,43
16;16;16;8;8;8;8;2;2;2;1;0;0;1;56,75
16;16;16;8;8;8;8;2;2;2;1;0;1;0;52,37
