MWG;NWG;KWG;MDIMC;NDIMC;MDIMA;NDIMB;KWI;VWM;VWN;STRM;STRN;SA;SB;Run1 (ms);Run2 (ms);Run3 (ms);Run4 (ms)
128;64;32;16;8;16;32;8;8;1;0;0;0;0;251,19;251,76;251,13;251,89
128;64;32;16;8;16;32;8;8;1;0;0;0;1;150,43;151,5;151,53;151,25
128;64;32;16;8;16;32;8;8;1;0;0;1;0;209,87;211,31;209,65;210,12
128;64;32;16;8;16;32;8;8;1;0;0;1;1;214,28;215,14;214,4;214,31
128;64;32;16;8;16;32;8;8;1;0;1;0;0;259,4;261,15;259,74;259,87
128;64;32;16;8;16;32;8;8;1;0;1;0;1;143,27;142,3;141,87;142,39
128;64;32;16;8;16;32;8;8;1;0;1;1;0;211,54;212,96;210,71;211,87
128;64;32;16;8;16;32;8;8;1;0;1;1;1;215,49;217,06;215,36;215,3
128;64;32;16;8;16;32;8;8;1;1;0;0;0;251,07;251,68;251,27;251,65
128;64;32;16;8;16;32;8;8;1;1;0;0;1;151,94;152,1;152,4;152,11
128;64;32;16;8;16;32;8;8;1;1;0;1;0;211,14;209,54;209,34;209,46
128;64;32;16;8;16;32;8;8;1;1;0;1;1;214,37;215,03;214,41;214,5
128;64;32;16;8;16;32;8;8;1;1;1;0;0;260,93;261,33;260,57;260,66
128;64;32;16;8;16;32;8;8;1;1;1;0;1;143,22;144,3;143,64;144,09
128;64;32;16;8;16;32;8;8;1;1;1;1;0;211,59;210,03;213,7;211,96
128;64;32;16;8;16;32;8;8;1;1;1;1;1;215,4;215,51;215,55;215,39
128;64;32;16;8;16;32;8;8;2;0;0;0;0;268,09;267,75;267,41;267,41
128;64;32;16;8;16;32;8;8;2;0;0;0;1;167,48;167,61;167,32;167,31
128;64;32;16;8;16;32;8;8;2;0;0;1;0;225,27;225,32;227,72;225,89
128;64;32;16;8;16;32;8;8;2;0;0;1;1;229,11;229,62;228,95;229,1
128;64;32;16;8;16;32;8;8;2;0;1;0;0;275,03;274,67;274,46;274,52
128;64;32;16;8;16;32;8;8;2;0;1;0;1;155,5;155,43;155,15;156,14
128;64;32;16;8;16;32;8;8;2;0;1;1;0;228,55;226,18;226,29;228,39
128;64;32;16;8;16;32;8;8;2;0;1;1;1;219,37;219,7;218,83;219,25
128;64;32;16;8;16;32;8;8;2;1;0;0;0;268,43;267,49;267,33;267,61
128;64;32;16;8;16;32;8;8;2;1;0;0;1;160,42;161,46;161,3;161,42
128;64;32;16;8;16;32;8;8;2;1;0;1;0;227,52;226,32;225,13;227,98
128;64;32;16;8;16;32;8;8;2;1;0;1;1;229,13;229,12;229,76;229,33
128;64;32;16;8;16;32;8;8;2;1;1;0;0;274,42;274,49;274,54;274,37
128;64;32;16;8;16;32;8;8;2;1;1;0;1;160,87;161,06;160,72;160,9
128;64;32;16;8;16;32;8;8;2;1;1;1;0;228,46;225,2;226,63;228,43
128;64;32;16;8;16;32;8;8;2;1;1;1;1;219,01;219,05;219,19;219,12
128;64;32;16;8;32;8;2;1;1;0;0;0;0;272,69;274,32;274,17;274,11
128;64;32;16;8;32;8;2;1;1;0;0;0;1;188,93;182,35;182,35;180,73
128;64;32;16;8;32;8;2;1;1;0;0;1;0;210,75;211,23;212,51;211,28
128;64;32;16;8;32;8;2;1;1;0;0;1;1;248,83;251,95;249,61;250,15
128;64;32;16;8;32;8;2;1;1;0;1;0;0;287,11;288,9;288,47;288,92
128;64;32;16;8;32;8;2;1;1;0;1;0;1;168,02;155,97;156,66;157,28
128;64;32;16;8;32;8;2;1;1;0;1;1;0;217,71;217,92;217,82;217,97
